STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
BR01UX;BG7ZWY7;BRABEVACNOR1;20190318;1;1.0
BR0024;2196286;BRVALEACNOR0;20190318;1;1.0
BR0013;2682365;BRPETRACNOR9;20190318;1;1.0
BR0035;B037HR3;BRITUBACNPR1;20190318;1;1.0
BR10IL;2684532;BRPETRACNPR6;20190318;1;1.0
BR0079;B00FM53;BRBBDCACNPR8;20190318;1;1.0
BR0046;2328595;BRBBASACNOR3;20190318;1;0.7228916
BR10KN;B00FM86;BRBBDCACNOR1;20190318;1;1.0
BR00AC;2458771;BRITSAACNPR7;20190318;1;1.0
BR00BD;BG36ZK1;BRB3SAACNOR6;20190318;1;1.0
BR306B;B9N3SQ0;BRBBSEACNOR5;20190318;1;1.0
BR00PR;B3ZCNF7;BRVIVTACNPR7;20190318;1;1.0
BR00GI;2311120;BRELETACNOR6;20190318;1;1.0
BR708H;BF7LBH4;BRCRFBACNOR2;20190318;1;1.0
BR00SU;2945422;BRWEGEACNOR0;20190318;1;1.0
BR00IK;B1V74X7;BRJBSSACNOR8;20190318;1;1.0
BR00MO;BD1WX84;BREGIEACNOR9;20190318;1;1.0
BR704D;B4975P9;BRMGLUACNOR2;20190318;1;1.0
BR03X2;B0CGYD6;BRLRENACNOR1;20190318;1;1.0
BR01RU;BYXZ2W5;BRRAILACNOR9;20190318;1;1.0
BR05IP;B0FHTN1;BRUGPAACNOR8;20190318;1;1.0
BR00EG;B614LY3;BRCIELACNOR3;20190318;1;1.0
BR00KM;2840970;BRCCROACNOR2;20190318;1;1.0
BR1025;2292560;BRTIMPACNOR1;20190318;1;1.0
BR805F;2683777;BRBRDTACNOR1;20190318;1;1.0
BR709I;BYZ6D56;BRIRBRACNOR4;20190318;1;1.0
BR04U0;B1YCHL8;BRSBSPACNOR5;20190318;1;1.0
BR04NT;B08K3S0;BRRENTACNOR4;20190318;1;1.0
BR02AE;B1LH3Y1;BRBTOWACNOR8;20190318;1;1.0
BR206A;B7FQV64;BRRADLACNOR0;20190318;1;1.0
BR03SX;2516710;BRLAMEACNPR6;20190318;1;1.0
BR00JL;B014K55;BRNATUACNOR6;20190318;1;1.0
BR15V3;BJ0K6Z9;BRKLBNCDAM18;20190318;1;1.0
BR027B;B0774N4;BRBRKMACNPA4;20190318;1;1.0
BR008A;B019KX8;BRCSNAACNOR6;20190318;1;1.0
BR3038;2836946;BRKROTACNOR9;20190318;1;1.0
BR02KO;B0P72G5;BRCSANACNOR6;20190318;1;1.0
BR00DF;2645517;BRGGBRACNPR8;20190318;1;1.0
BR00RT;B2QY968;BRHYPEACNOR0;20190318;1;1.0
BR00FH;2036995;BRBRFSACNOR8;20190318;1;1.0
BR305A;B128R96;BREQTLACNOR0;20190318;1;1.0
BR807H;BF4J7K6;BRGNDIACNOR2;20190318;1;1.0
BR0406;B1FRH89;BRMDIAACNOR7;20190318;1;1.0
BR04DJ;B5VGS74;BRPCARACNPR0;20190318;1;1.0
BR15EM;B56XQT8;BRENGICDAM16;20190318;1;1.0
BR046C;B23DZG0;BRMULTACNOR5;20190318;1;1.0
BR02Y2;B16FPG6;BREMBRACNOR4;20190318;1;1.0
BR00TV;B1YBRG0;BRCMIGACNPR3;20190318;1;1.0
BR152A;B27WYK0;BRSULACDAM12;20190318;1;1.0
BR028C;B1RYG58;BRBRMLACNOR9;20190318;1;1.0
BR02Z3;B0D7494;BRENBRACNOR2;20190318;1;1.0
BR10RU;2308445;BRELETACNPB7;20190318;1;1.0
BR2059;B7XL4M8;BROIBRACNOR1;20190318;1;1.0
BR902D;2211747;BRGUARACNOR4;20190318;1;1.0
BR049F;B1H6R62;BRODPVACNOR4;20190318;1;1.0
